YEAR	C0001972	C0002520	
1945	0	35	
1946	0	138	
1947	1	229	
1948	2	191	
1949	2	188	
1950	1	241	
1951	1	258	
1952	1	321	
1953	3	339	
1954	2	401	
1955	7	387	
1956	2	378	
1957	1	414	
1958	1	441	
1959	3	436	
1960	1	481	
1961	1	551	
1962	2	608	
1963	0	671	
1964	1	803	
1965	3	1062	
1966	0	847	
1967	0	973	
1968	0	1063	
1969	0	1189	
1970	0	1255	
1971	0	1254	
1972	0	1357	
1973	1	1389	
1974	5	1336	
1975	5	3981	
1976	12	3752	
1977	11	3441	
1978	14	3250	
1979	25	3267	
1980	19	3307	
1981	23	3353	
1982	7	3399	
1983	6	3893	
1984	16	3855	
1985	11	3915	
1986	30	4039	
1987	27	4084	
1988	25	3958	
1989	61	4455	
1990	35	4367	
1991	37	4226	
1992	13	3960	
1993	65	4164	
1994	73	4140	
1995	45	3872	
1996	71	3535	
1997	56	3657	
1998	79	3707	
1999	74	3712	
2000	49	4065	
2001	24	4653	
2002	60	4625	
2003	51	4565	
2004	65	4912	
2005	81	5305	
2006	85	6283	
2007	63	7248	
2008	135	7609	
2009	155	8411	
2010	58	10042	
2011	170	11544	
2012	88	14209	
2013	116	14649	
2014	61	16931	
2015	45	18013	
2016	22	18909	
2017	44	17758	
2018	20	7034	
