YEAR	C0024518	C0027100	
1975	1	0	
1976	0	0	
1977	2	0	
1978	56	0	
1979	178	0	
1980	211	0	
1981	391	0	
1982	285	0	
1983	386	0	
1984	516	0	
1985	534	0	
1986	684	10	
1987	768	0	
1988	654	4	
1989	775	1	
1990	884	0	
1991	890	0	
1992	861	3	
1993	935	5	
1994	918	9	
1995	800	266	
1996	843	790	
1997	1316	941	
1998	1192	815	
1999	1057	972	
2000	1017	1009	
2001	1030	700	
2002	628	688	
2003	1357	853	
2004	981	857	
2005	889	751	
2006	1116	790	
2007	955	558	
2008	2043	747	
2009	1429	507	
2010	1896	1017	
2011	2063	695	
2012	1981	1304	
2013	2116	880	
2014	2135	995	
2015	1639	620	
2016	2463	897	
2017	2251	556	
2018	507	245	
